id,aspect_ratio,diameter,height_ratio,sphericity,symmetry_concave,symmetry_hull,symmetry_total,thickness,unmachinable,volume_ratio,is_lathe
00105C6,0.13571429,0.13125000,0.34426229,0.16712748,0.58206087,0.57769907,0.57510240,0.26521740,0.00000000,0.34275470,0
000F890,0.68163909,0.04078469,0.39482942,0.55180731,0.67472214,0.57303262,0.55582586,0.07185878,0.00000000,0.64182911,0
0010621,0.99933187,0.15615453,0.80116305,0.62981367,0.00853328,0.00262729,0.00673727,0.08697158,0.00000000,0.58663252,1
0010016,0.97012693,0.42398130,0.03818648,0.17543523,0.38467164,0.24508591,0.38467164,0.01092640,0.00000000,0.48925490,0
000F358,0.51141653,0.01870817,0.20596076,0.47046268,0.69541277,0.67581586,0.69298594,0.06318863,0.00000000,0.60262024,0
000F1A7,0.19178082,0.04562500,0.36868687,0.25597529,0.60679111,0.54826011,0.59950099,0.08608696,1.00000000,0.42478070,0
000F403,0.76842107,0.05937500,0.61688308,0.16307588,0.40460244,0.43181147,0.38692543,0.06695652,1.00000000,0.15065912,0
000F1A6,0.95167570,0.16681102,0.70098428,0.22125168,0.49781110,0.45366146,0.49025585,0.07741305,1.00000000,0.27956304,0
000F1A5,0.83370846,0.05247638,0.35120359,0.42344447,0.52040895,0.34685703,0.43196858,0.01068881,0.00000000,0.51831572,0
000F5A7,0.89025036,0.07020497,0.74999998,0.48805133,0.61456687,0.40340989,0.48668614,0.03260869,0.00000000,0.46486728,0
000F359,0.90979375,0.17311590,0.66894710,0.39578980,0.47213880,0.33599385,0.35040206,0.07329322,0.00000000,0.65437323,0
000F35C,0.56814465,0.01835778,0.22536853,0.50080796,0.71131733,0.67749616,0.68531116,0.05666553,0.00000000,0.64040655,0
001061E,0.13348810,0.04684646,0.08949779,0.24225604,0.74859217,0.73919371,0.77846399,0.36413011,0.00000000,0.88770761,0
000F7E5,0.81697747,0.07381250,0.42938201,0.47641503,0.59678486,0.55408732,0.52746219,0.11958542,0.00000000,0.62216410,0
000F731,0.16382772,0.06013706,0.37490988,0.36462684,0.67928964,0.55071624,0.61549556,0.11158542,0.00000000,0.53863571,0
000F7E8,0.44012286,0.04768209,0.50495364,0.43138993,0.66854694,0.50319211,0.55157955,0.06568949,0.00000000,0.61629336,0
000F80F,0.56826445,0.17597441,0.15625000,0.47936362,0.71173216,0.40742685,0.61902632,0.01086957,0.00000000,0.39261392,0
001061B,0.99987003,0.06250812,0.74999998,0.63097701,0.69961189,0.36630315,0.42690157,0.03260869,0.00000000,0.93148706,0
001061D,0.35235631,0.25000000,0.23529412,0.16808137,0.67405987,0.64856575,0.67405987,0.73913041,0.00000000,0.20922945,0
000F88B,0.61748527,0.08366142,0.15126330,0.43956655,0.73484942,0.38774437,0.38963327,0.00543598,0.00000000,0.92482504,0
